FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;0,100177;;;
150102;0000;0,102276;;;
150103;0000;0,103554;;;
150104;0000;0,103375;;;
150105;0000;0,115659;;;
150106;0000;0,104203;;;
150107;0000;0,100821;;;
150108;0000;0,101838;;;
150109;0000;0,113217;;;
150110;0000;0,102925;;;
150111;0000;0,100206;;;
150112;0000;0,104163;;;
150113;0000;0,118776;;;
150114;0000;0,112892;;;
150115;0000;0,111319;;;
150116;0000;0,133015;;;
150117;0000;0,119656;;;
150118;0000;0,10317;;;
150119;0000;0,0999998;;;
150120;0000;0,0999998;;;
150121;0000;0,123143;;;
150122;0000;0,122251;;;
150123;0000;0,140506;;;
150124;0000;0,138093;;;
150125;0000;0,14727;;;
150126;0000;0,112441;;;
150127;0000;0,135364;;;
150128;0000;0,121892;;;
150129;0000;0,124276;;;
150130;0000;0,122797;;;
150131;0000;0,25423;;;
150201;0000;0,218565;;;
150202;0000;0,14944;;;
150203;0000;0,125481;;;
150204;0000;0,180304;;;
150205;0000;0,136426;;;
150206;0000;0,19256;;;
150207;0000;0,174679;;;
150208;0000;0,138079;;;
150209;0000;0,194964;;;
150210;0000;0,194472;;;
150211;0000;0,133868;;;
150212;0000;0,168754;;;
150213;0000;0,166361;;;
150214;0000;0,182914;;;
150215;0000;0,155722;;;
150216;0000;0,140263;;;
150217;0000;0,236334;;;
150218;0000;0,152984;;;
150219;0000;0,166307;;;
150220;0000;0,159573;;;
150221;0000;0,18018;;;
150222;0000;0,22859;;;
150223;0000;0,166865;;;
150224;0000;0,114705;;;
150225;0000;0,110136;;;
150226;0000;0,108106;;;
150227;0000;0,100059;;;
150228;0000;0,100978;;;
150301;0000;0,102522;;;
150302;0000;0,164227;;;
150303;0000;0,158661;;;
150304;0000;0,17139;;;
150305;0000;0,254294;;;
150306;0000;0,243768;;;
150307;0000;0,21727;;;
150308;0000;0,294383;;;
150309;0000;0,279091;;;
150310;0000;0,37711;;;
150311;0000;0,342579;;;
150312;0000;0,439172;;;
150313;0000;0,471945;;;
150314;0000;0,411619;;;
150315;0000;0,352957;;;
150316;0000;0,289317;;;
150317;0000;0,40034;;;
150318;0000;0,308676;;;
150319;0000;0,331694;;;
150320;0000;0,473397;;;
150321;0000;0,226667;;;
150322;0000;0,175315;;;
150323;0000;0,165572;;;
150324;0000;0,134349;;;
150325;0000;0,308455;;;
150326;0000;0,224909;;;
150327;0000;0,447906;;;
150328;0000;0,408215;;;
150329;0000;0,269489;;;
150330;0000;0,182382;;;
150331;0000;0,444609;;;
150401;0000;0,52761;;;
150402;0000;0,427833;;;
150403;0000;0,23697;;;
150404;0000;0,247302;;;
150405;0000;0,372186;;;
150406;0000;0,316114;;;
150407;0000;0,298817;;;
150408;0000;0,434896;;;
150409;0000;0,538596;;;
150410;0000;0,641899;;;
150411;0000;0,512434;;;
150412;0000;0,42747;;;
150413;0000;0,50307;;;
150414;0000;0,360303;;;
150415;0000;0,26127;;;
150416;0000;0,156693;;;
150417;0000;0,671348;;;
150418;0000;0,372751;;;
150419;0000;0,204514;;;
150420;0000;0,448184;;;
150421;0000;0,688463;;;
150422;0000;0,948004;;;
150423;0000;;;1,00649;
150424;0000;;;1,30721;
150425;0000;;;1,19425;
150426;0000;;;1,6361;
150427;0000;;;2,00014;
150428;0000;;;1,76205;
150429;0000;;;2,02542;
150430;0000;;;2,23324;
150501;0000;;;2,18906;
150502;0000;;;1,75985;
150503;0000;;;2,1407;
150504;0000;;;1,98555;
150505;0000;1,2897;;;
150506;0000;1,53382;;;
150507;0000;1,32286;;;
150508;0000;1,78177;;;
150509;0000;1,96268;;;
150510;0000;2,02403;;;
150511;0000;;;2,11171;
150512;0000;;;2,09605;
150513;0000;;;2,23197;
150514;0000;;;1,76785;
150515;0000;1,48024;;;
150516;0000;1,67426;;;
150517;0000;1,56072;;;
150518;0000;1,72088;;;
150519;0000;1,46238;;;
150520;0000;1,16352;;;
150521;0000;1,67994;;;
150522;0000;;;1,75335;
150523;0000;;;1,71694;
150524;0000;;;1,79498;
150525;0000;;;2,25389;
150526;0000;;;2,34539;
150527;0000;1,81674;;;
150528;0000;1,42411;;;
150529;0000;1,27288;;;
150530;0000;1,53892;;;
150531;0000;1,64469;;;
150601;0000;2,05488;;;
150602;0000;1,73004;;;
150603;0000;1,89495;;;
150604;0000;2,74445;;;
150605;0000;2,11611;;;
150606;0000;1,45206;;;
150607;0000;1,66684;;;
150608;0000;1,76402;;;
150609;0000;;;1,6281;
150610;0000;;;1,27114;
150611;0000;;;2,01348;
150612;0000;;;1,77689;
150613;0000;;;1,78408;
150614;0000;;;1,88486;
150615;0000;;;2,2569;
150616;0000;1,71362;;;
150617;0000;1,4858;;;
150618;0000;1,6919;;;
150619;0000;1,6843;;;
150620;0000;1,61044;;;
150621;0000;2,02832;;;
150622;0000;1,52357;;;
150623;0000;1,46985;;;
150624;0000;1,28916;;;
150625;0000;1,45249;;;
150626;0000;1,4488;;;
150627;0000;1,59658;;;
150628;0000;1,3213;;;
150629;0000;1,32326;;;
150630;0000;1,70495;;;
150701;0000;1,48062;;;
150702;0000;1,65572;;;
150703;0000;1,50246;;;
150704;0000;1,08975;;;
150705;0000;0,898081;;;
150706;0000;0,875081;;;
150707;0000;1,43136;;;
150708;0000;1,73502;;;
150709;0000;1,09319;;;
150710;0000;1,35463;;;
150711;0000;0,80061;;;
150712;0000;0,118542;;;
150713;0000;0,258263;;;
150714;0000;0,743258;;;
150715;0000;1,28505;;;
150716;0000;1,02978;;;
150717;0000;0,89482;;;
150718;0000;0,396378;;;
150719;0000;0,572902;;;
150720;0000;0,805942;;;
150721;0000;1,21098;;;
150722;0000;1,14351;;;
150723;0000;1,01454;;;
150724;0000;1,18245;;;
150725;0000;1,50006;;;
150726;0000;0,711251;;;
150727;0000;0,544894;;;
150728;0000;0,771384;;;
150729;0000;0,936548;;;
150730;0000;0,511599;;;
150731;0000;1,16256;;;
150801;0000;2,2032;;;
150802;0000;1,35711;;;
150803;0000;2,02831;;;
150804;0000;0,802747;;;
150805;0000;0,511849;;;
150806;0000;0,553798;;;
150807;0000;1,16483;;;
150808;0000;0,508705;;;
150809;0000;0,277019;;;
150810;0000;0,313858;;;
150811;0000;0,962932;;;
150812;0000;1,34303;;;
150813;0000;1,03988;;;
150814;0000;0,885827;;;
150815;0000;1,02358;;;
150816;0000;0,837884;;;
150817;0000;0,497737;;;
150818;0000;1,15129;;;
150819;0000;1,08567;;;
150820;0000;0,783191;;;
150821;0000;0,162981;;;
150822;0000;0,377146;;;
150823;0000;0,975056;;;
150824;0000;1,2905;;;
150825;0000;0,297812;;;
150826;0000;0,475533;;;
150827;0000;1,26176;;;
150828;0000;1,31279;;;
150829;0000;1,13475;;;
150830;0000;0,784624;;;
150831;0000;0,788116;;;
150901;0000;0,799888;;;
150902;0000;0,645464;;;
150903;0000;0,901829;;;
150904;0000;0,780931;;;
150905;0000;0,50203;;;
150906;0000;0,106618;;;
150907;0000;0,235541;;;
150908;0000;0,633981;;;
150909;0000;0,668472;;;
150910;0000;0,7446;;;
150911;0000;0,773876;;;
150912;0000;0,83197;;;
150913;0000;0,770829;;;
150914;0000;0,845097;;;
150915;0000;0,645162;;;
150916;0000;;;;
150917;0000;0,233242;;;
150918;0000;0,824363;;;
150919;0000;0,730918;;;
150920;0000;0,636201;;;
150921;0000;0,248614;;;
150922;0000;0,418478;;;
150923;0000;0,436243;;;
150924;0000;0,534827;;;
150925;0000;0,908172;;;
150926;0000;0,982437;;;
150927;0000;0,990915;;;
150928;0000;1,06745;;;
150929;0000;0,735667;;;
150930;0000;0,584079;;;
151001;0000;0,304265;;;
151002;0000;0,711824;;;
151003;0000;0,807916;;;
151004;0000;0,314318;;;
151005;0000;0,390796;;;
151006;0000;0,366242;;;
151007;0000;0,263329;;;
151008;0000;0,563903;;;
151009;0000;0,620349;;;
151010;0000;0,537346;;;
151011;0000;0,482686;;;
151012;0000;0,382769;;;
151013;0000;0,447073;;;
151014;0000;0,313151;;;
151015;0000;0,382359;;;
151016;0000;0,891354;;;
151017;0000;0,919105;;;
151018;0000;0,59316;;;
151019;0000;0,378591;;;
151020;0000;0,63833;;;
151021;0000;0,400572;;;
151022;0000;0,527257;;;
151023;0000;0,551533;;;
151024;0000;0,481044;;;
151025;0000;0,482897;;;
151026;0000;;;;
151027;0000;0,714055;;;
151028;0000;0,538387;;;
151029;0000;0,527875;;;
151030;0000;0,543701;;;
151031;0000;0,676074;;;
151101;0000;0,612591;;;
151102;0000;0,444733;;;
151103;0000;0,421145;;;
151104;0000;0,507962;;;
151105;0000;0,526951;;;
151106;0000;0,616425;;;
151107;0000;0,60187;;;
151108;0000;0,543354;;;
151109;0000;0,42632;;;
151110;0000;0,505813;;;
151111;0000;0,369975;;;
151112;0000;0,494378;;;
151113;0000;0,52642;;;
151114;0000;0,702548;;;
151115;0000;0,522447;;;
151116;0000;0,441244;;;
151117;0000;0,396241;;;
151118;0000;0,382288;;;
151119;0000;0,435746;;;
151120;0000;0,561512;;;
151121;0000;0,555806;;;
151122;0000;0,44859;;;
151123;0000;0,440089;;;
151124;0000;0,44054;;;
151125;0000;0,415139;;;
151126;0000;0,467233;;;
151127;0000;0,501447;;;
151128;0000;0,495279;;;
151129;0000;0,689358;;;
151130;0000;0,49514;;;
151201;0000;0,482157;;;
151202;0000;0,410934;;;
151203;0000;0,582304;;;
151204;0000;0,520598;;;
151205;0000;0,617742;;;
151206;0000;0,478391;;;
151207;0000;0,64694;;;
151208;0000;0,441105;;;
151209;0000;0,584752;;;
151210;0000;0,450207;;;
151211;0000;0,514246;;;
151212;0000;0,48523;;;
151213;0000;0,430501;;;
151214;0000;0,408069;;;
151215;0000;0,600346;;;
151216;0000;0,367087;;;
151217;0000;0,497035;;;
151218;0000;0,534459;;;
151219;0000;0,537116;;;
151220;0000;0,524872;;;
151221;0000;;;;
151222;0000;;;;
151223;0000;;;;
151224;0000;;;;
151225;0000;;;;
151226;0000;;;;
151227;0000;;;;
151228;0000;;;;
151229;0000;;;;
151230;0000;0,310369;;;
151231;0000;0,370555;;;
160101;0000;0,382307;;;
160102;0000;0,20007;;;
160103;0000;0,24096;;;
160104;0000;0,272072;;;
160105;0000;0,308507;;;
160106;0000;0,206678;;;
160107;0000;0,127604;;;
160108;0000;0,135625;;;
160109;0000;0,189387;;;
160110;0000;0,188993;;;
160111;0000;0,116076;;;
160112;0000;0,11809;;;
160113;0000;0,200683;;;
160114;0000;0,139445;;;
160115;0000;0,195035;;;
160116;0000;0,34831;;;
160117;0000;0,28191;;;
160118;0000;0,202512;;;
160119;0000;0,190544;;;
160120;0000;0,236933;;;
160121;0000;0,113229;;;
160122;0000;0,128993;;;
160123;0000;0,1;;;
