FECHA (YYMMDD);HORA (HHMM);;,
150101;0100;70,6667;
150101;0200;71,0833;
150101;0300;71;,
150101;0400;72,8333;
150101;0500;72,75;
150101;0600;70,75;
150101;0700;60,4167;
150101;0800;56;,
150101;0900;52,5833;
150101;1000;48,6667;
150101;1100;43,8333;
150101;1200;37,75;
150101;1300;34,4167;
150101;1400;31,5;
150101;1500;28;,
150101;1600;26,0833;
150101;1700;27,5833;
150101;1800;28,3333;
150101;1900;33,5;
150101;2000;36,75;
150101;2100;42,3333;
150101;2200;45,1667;
150101;2300;48,4167;
150102;0000;51,25;
150102;0100;53,3333;
150102;0200;56,8333;
150102;0300;59,3333;
150102;0400;60,6667;
150102;0500;61,5833;
150102;0600;57,9167;
150102;0700;42,75;
150102;0800;35,8333;
150102;0900;32;,
150102;1000;28,3333;
150102;1100;25,8333;
150102;1200;25,9167;
150102;1300;22,1667;
150102;1400;20,5;
150102;1500;20,9167;
150102;1600;23,8333;
150102;1700;25,5833;
150102;1800;25,6667;
150102;1900;24,75;
150102;2000;24,5833;
150102;2100;29,5;
150102;2200;31,8333;
150102;2300;36;,
150103;0000;38,6667;
150103;0100;44,5833;
150103;0200;48,25;
150103;0300;48,4167;
150103;0400;48,75;
150103;0500;51,4167;
150103;0600;49;,
150103;0700;36,8333;
150103;0800;26,75;
150103;0900;22,1667;
150103;1000;18,5833;
150103;1100;17,5;
150103;1200;21,1667;
150103;1300;20,3333;
150103;1400;17,75;
150103;1500;16,5;
150103;1600;17,4167;
150103;1700;22,6667;
150103;1800;29;,
150103;1900;35,5;
150103;2000;43,75;
150103;2100;46,0833;
150103;2200;49;,
150103;2300;52,5833;
150104;0000;55,6667;
150104;0100;60,1667;
150104;0200;61,5;
150104;0300;63,5833;
150104;0400;63,75;
150104;0500;66;,
150104;0600;62,3333;
150104;0700;48,75;
150104;0800;38,75;
150104;0900;33,8333;
150104;1000;28,9167;
150104;1100;26,9167;
150104;1200;25,5833;
150104;1300;23,6667;
150104;1400;18,8333;
150104;1500;17,4167;
150104;1600;21,25;
150104;1700;27,6667;
150104;1800;31,75;
150104;1900;39,6667;
150104;2000;44,0833;
150104;2100;48,75;
150104;2200;52,4167;
150104;2300;54,75;
150105;0000;59,1667;
150105;0100;61,1667;
150105;0200;63,75;
150105;0300;64,9166;
150105;0400;66;,
150105;0500;67,1666;
150105;0600;63,75;
150105;0700;54,75;
150105;0800;49,25;
150105;0900;42,5833;
150105;1000;36,5;
150105;1100;34,1667;
150105;1200;31,4167;
150105;1300;26,4167;
150105;1400;24,8333;
150105;1500;24,8333;
150105;1600;28,3333;
150105;1700;30,9167;
150105;1800;33,75;
150105;1900;36,9167;
150105;2000;45,75;
150105;2100;53,9167;
150105;2200;59,9167;
150105;2300;62,1667;
150106;0000;67,9166;
150106;0100;69,1667;
150106;0200;70,3333;
150106;0300;72,1666;
150106;0400;73,5833;
150106;0500;75,1666;
150106;0600;72,4166;
150106;0700;58,0833;
150106;0800;51;,
150106;0900;44,5833;
150106;1000;39,3333;
150106;1100;34,5833;
150106;1200;33,75;
150106;1300;33,5833;
150106;1400;33,0833;
150106;1500;34,8333;
150106;1600;37,3333;
150106;1700;41,25;
150106;1800;46,6667;
150106;1900;51,8333;
150106;2000;55,4167;
150106;2100;57,5;
150106;2200;61,6667;
150106;2300;66,8333;
150107;0000;73,3333;
150107;0100;76,75;
150107;0200;78,25;
150107;0300;82,4166;
150107;0400;86;,
150107;0500;86,5;
150107;0600;84,5833;
150107;0700;79,0833;
150107;0800;68,75;
150107;0900;61,0833;
150107;1000;51;,
150107;1100;45,75;
150107;1200;45,9167;
150107;1300;42,0833;
150107;1400;39,1667;
150107;1500;45,0833;
150107;1600;44,8333;
150107;1700;41,1667;
150107;1800;41,3333;
150107;1900;48,0833;
150107;2000;55,9167;
150107;2100;58,5;
150107;2200;61,25;
150107;2300;63,3333;
150108;0000;65,8333;
150108;0100;67,4166;
150108;0200;70,3333;
150108;0300;71,25;
150108;0400;72,8333;
150108;0500;73,5833;
150108;0600;71,6666;
150108;0700;66,6666;
150108;0800;55,6667;
150108;0900;49,4167;
150108;1000;43,8333;
150108;1100;38,0833;
150108;1200;28,25;
150108;1300;24,1667;
150108;1400;20,8333;
150108;1500;17,9167;
150108;1600;14,75;
150108;1700;15;,
150108;1800;20,5;
150108;1900;29,8333;
150108;2000;36,75;
150108;2100;42,8333;
150108;2200;45;,
150108;2300;49,3333;
150109;0000;54,1667;
150109;0100;55,75;
150109;0200;56,75;
150109;0300;58,0833;
150109;0400;60,25;
150109;0500;61,25;
150109;0600;59,0833;
150109;0700;42,5;
150109;0800;33,5;
150109;0900;29,4167;
150109;1000;24,25;
150109;1100;22,25;
150109;1200;19;,
150109;1300;18,1667;
150109;1400;14,8333;
150109;1500;17,0833;
150109;1600;20,8333;
150109;1700;20,8333;
150109;1800;20,75;
150109;1900;24;,
150109;2000;29,6667;
150109;2100;29,8333;
150109;2200;31,6667;
150109;2300;34,25;
150110;0000;33,3333;
150110;0100;39,6667;
150110;0200;44,75;
150110;0300;47,3333;
150110;0400;50,0833;
150110;0500;52,1667;
150110;0600;50;,
150110;0700;38,0833;
150110;0800;32,5;
150110;0900;24,1667;
150110;1000;21,1667;
150110;1100;21,8333;
150110;1200;25,3333;
150110;1300;25;,
150110;1400;23,25;
150110;1500;23,5;
150110;1600;27,0833;
150110;1700;31,75;
150110;1800;35,3333;
150110;1900;43,4167;
150110;2000;50;,
150110;2100;52,0833;
150110;2200;53,75;
150110;2300;55,5;
150111;0000;59,5;
150111;0100;63,0833;
150111;0200;64,9166;
150111;0300;67,5833;
150111;0400;69,1666;
150111;0500;69,5833;
150111;0600;66,3333;
150111;0700;51;,
150111;0800;44,0833;
150111;0900;37,1667;
150111;1000;32,8333;
150111;1100;26,4167;
150111;1200;21,1667;
150111;1300;20,0833;
150111;1400;18,6667;
150111;1500;23,4167;
150111;1600;28,1667;
150111;1700;31,0833;
150111;1800;32,5833;
150111;1900;36,0833;
150111;2000;39,75;
150111;2100;41,5;
150111;2200;45,6667;
150111;2300;47,75;
150112;0000;52,6667;
150112;0100;56,3333;
150112;0200;57,0833;
150112;0300;60,6667;
150112;0400;64;,
150112;0500;65,5;
150112;0600;60,4167;
150112;0700;47,75;
150112;0800;41,25;
150112;0900;36,0833;
150112;1000;31,0833;
150112;1100;30,0833;
150112;1200;28,0833;
150112;1300;25,9167;
150112;1400;28,0833;
150112;1500;28,5;
150112;1600;30,1667;
150112;1700;32,5;
150112;1800;36,1667;
150112;1900;41,8333;
150112;2000;47,25;
150112;2100;50;,
150112;2200;50,25;
150112;2300;52,0833;
150113;0000;54,25;
150113;0100;55,75;
150113;0200;59,75;
150113;0300;63,6667;
150113;0400;65,0833;
150113;0500;67,3333;
150113;0600;65,8333;
150113;0700;51,5;
150113;0800;44,5833;
150113;0900;41,0833;
150113;1000;36,0833;
150113;1100;29,25;
150113;1200;28,25;
150113;1300;28,0833;
150113;1400;27,4167;
150113;1500;26,4167;
150113;1600;28;,
150113;1700;30,6667;
150113;1800;33,9167;
150113;1900;39,6667;
150113;2000;44,6667;
150113;2100;47,75;
150113;2200;48,25;
150113;2300;52,9167;
150114;0000;55,6667;
150114;0100;58,6667;
150114;0200;62,1667;
150114;0300;65,5833;
150114;0400;66,9166;
150114;0500;67,4166;
150114;0600;64,4166;
150114;0700;50,6667;
150114;0800;42,25;
150114;0900;37,0833;
150114;1000;32,8333;
150114;1100;29;,
150114;1200;23,5833;
150114;1300;22,5;
150114;1400;21,5833;
150114;1500;20;,
150114;1600;22,6667;
150114;1700;27,1667;
150114;1800;32,0833;
150114;1900;39,0833;
150114;2000;44,3333;
150114;2100;46,75;
150114;2200;49,4167;
150114;2300;50,1667;
150115;0000;53,25;
150115;0100;55,8333;
150115;0200;58;,
150115;0300;62,5833;
150115;0400;64,8333;
150115;0500;66;,
150115;0600;64,75;
150115;0700;53;,
150115;0800;43,6667;
150115;0900;38,5;
150115;1000;36,25;
150115;1100;32,75;
150115;1200;30,75;
150115;1300;31,9167;
150115;1400;30,4167;
150115;1500;30,5833;
150115;1600;31,25;
150115;1700;35,25;
150115;1800;40,5;
150115;1900;46,5;
150115;2000;51,6667;
150115;2100;54;,
150115;2200;56,6667;
150115;2300;58;,
150116;0000;61,5;
150116;0100;64,75;
150116;0200;67,5833;
150116;0300;69;,
150116;0400;72,4166;
150116;0500;73;,
150116;0600;72,0833;
150116;0700;59,75;
150116;0800;51,9167;
150116;0900;46,6667;
150116;1000;41,4167;
150116;1100;37,3333;
150116;1200;36,1667;
150116;1300;34,5833;
150116;1400;30,6667;
150116;1500;30,75;
150116;1600;32,0833;
150116;1700;35,3333;
150116;1800;38,3333;
150116;1900;44,5833;
150116;2000;51,25;
150116;2100;54,3333;
150116;2200;57,0833;
150116;2300;60,6667;
150117;0000;63;,
150117;0100;66,25;
150117;0200;69,6666;
150117;0300;71,5;
150117;0400;72,5833;
150117;0500;74,1666;
150117;0600;74,0833;
150117;0700;62,3333;
150117;0800;53,9167;
150117;0900;48,5833;
150117;1000;43,4167;
150117;1100;37,8333;
150117;1200;33,75;
150117;1300;34,8333;
150117;1400;32,8333;
150117;1500;35,0833;
150117;1600;37,8333;
150117;1700;40,8333;
150117;1800;44,25;
150117;1900;50,5833;
150117;2000;56;,
150117;2100;59,8333;
150117;2200;64,9166;
150117;2300;69,9166;
150118;0000;73,3333;
150118;0100;75,8333;
150118;0200;77,6666;
150118;0300;78,3333;
150118;0400;80;,
150118;0500;80,25;
150118;0600;79,25;
150118;0700;67,5;
150118;0800;61,25;
150118;0900;56,1667;
150118;1000;53,5833;
150118;1100;53,9167;
150118;1200;55,1667;
150118;1300;54,9167;
150118;1400;54,25;
150118;1500;55,1667;
150118;1600;54,5833;
150118;1700;56;,
150118;1800;59,75;
150118;1900;67,5;
150118;2000;73,4166;
150118;2100;76,5;
150118;2200;78,1666;
150118;2300;80,5;
150119;0000;81,6666;
150119;0100;82,8333;
150119;0200;83,1667;
150119;0300;82,4167;
150119;0400;80,5;
150119;0500;79,6666;
150119;0600;80,25;
150119;0700;82,25;
150119;0800;83,75;
150119;0900;80,5;
150119;1000;76,3333;
150119;1100;76,1666;
150119;1200;73,8333;
150119;1300;66,5833;
150119;1400;55,5833;
150119;1500;47,8333;
150119;1600;50,3333;
150119;1700;53,9167;
150119;1800;57,75;
150119;1900;63,75;
150119;2000;69,5;
150119;2100;73,8333;
150119;2200;76,5;
150119;2300;79,0833;
150120;0000;81,25;
150120;0100;84;,
150120;0200;85,1667;
150120;0300;85,25;
150120;0400;83,8333;
150120;0500;82,75;
150120;0600;81,5833;
150120;0700;78,9166;
150120;0800;76,0833;
