FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;29,5833;;;
150102;0000;41,9545;;;
150103;0000;51,1041;;;
150104;0000;55,8043;;;
150105;0000;52,3541;;;
150106;0000;62,6875;;;
150107;0000;51,625;;;
150108;0000;55,9565;;;
150109;0000;60,2954;;;
150110;0000;58,1458;;;
150111;0000;52,7291;;;
150112;0000;67,5208;;;
150113;0000;76,5;;;
150114;0000;66,4564;;;
150115;0000;62,625;;;
150116;0000;74,8125;;;
150117;0000;67,9583;;;
150118;0000;45,7916;;;
150119;0000;40;;;
150120;0000;42,7083;;;
150121;0000;48,6875;;;
150122;0000;56,1875;;;
150123;0000;72,8333;;;
150124;0000;57,5833;;;
150125;0000;46,6875;;;
150126;0000;44,8541;;;
150127;0000;52,2708;;;
150128;0000;51,8333;;;
150129;0000;61,6458;;;
150130;0000;65,2083;;;
150131;0000;62,4791;;;
150201;0000;52,3958;;;
150202;0000;57,0625;;;
150203;0000;59,3958;;;
150204;0000;62,9166;;;
150205;0000;66,0625;;;
150206;0000;65,9375;;;
150207;0000;49,4583;;;
150208;0000;35,4565;;;
150209;0000;54,8125;;;
150210;0000;58,2083;;;
150211;0000;54,3125;;;
150212;0000;64,4166;;;
150213;0000;66,8157;;;
150214;0000;69,375;;;
150215;0000;60,375;;;
150216;0000;69,4791;;;
150217;0000;69,9375;;;
150218;0000;62,4583;;;
150219;0000;83,8333;;;
150220;0000;75,2916;;;
150221;0000;47;;;
150222;0000;42,2954;;;
150223;0000;50,9791;;;
150224;0000;35,7083;;;
150225;0000;48,6041;;;
150226;0000;49,2916;;;
150227;0000;39,0625;;;
150228;0000;27,5;;;
150301;0000;27,875;;;
150302;0000;44,0833;;;
150303;0000;48,913;;;
150304;0000;55,6666;;;
150305;0000;67,3541;;;
150306;0000;67,5625;;;
150307;0000;65,8333;;;
150308;0000;49,8541;;;
150309;0000;61,8541;;;
150310;0000;92,5;;;
150311;0000;83,75;;;
150312;0000;106,818;;;
150313;0000;87,9166;;;
150314;0000;84,1304;;;
150315;0000;69,375;;;
