FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;12,75;;;
150102;0000;13,25;;;
150103;0000;17,8333;;;
150104;0000;20,75;;;
150105;0000;16,5;;;
150106;0000;19,1667;;;
150107;0000;17,9583;;;
150108;0000;17,5;;;
150109;0000;17,7917;;;
150110;0000;17,5417;;;
150111;0000;18,7917;;;
150112;0000;21,5417;;;
150113;0000;27,1667;;;
150114;0000;22,6957;;;
150115;0000;20,2917;;;
150116;0000;24,9167;;;
150117;0000;26,7083;;;
150118;0000;21,5;;;
150119;0000;17,5;;;
150120;0000;16,4583;;;
150121;0000;17,3333;;;
150122;0000;17,875;;;
150123;0000;18,875;;;
150124;0000;16,0417;;;
150125;0000;13,3333;;;
150126;0000;8,79167;;;
150127;0000;10,875;;;
150128;0000;14,25;;;
150129;0000;14,3636;;;
150130;0000;19,5833;;;
150131;0000;20,625;;;
150201;0000;17,6667;;;
150202;0000;17,0417;;;
150203;0000;19,5417;;;
150204;0000;19,375;;;
150205;0000;20;;;
150206;0000;22,3333;;;
150207;0000;14,5417;;;
150208;0000;8,91667;;;
150209;0000;16,25;;;
150210;0000;17,8333;;;
150211;0000;14,7083;;;
150212;0000;17,3333;;;
150213;0000;;;;
150214;0000;25,5417;;;
150215;0000;25,625;;;
150216;0000;29,75;;;
150217;0000;27,7917;;;
150218;0000;20,9167;;;
150219;0000;34,0834;;;
150220;0000;37,2917;;;
150221;0000;21,9167;;;
150222;0000;18,5238;;;
150223;0000;18,1667;;;
150224;0000;19,9583;;;
150225;0000;26,1667;;;
150226;0000;20,75;;;
150227;0000;14,3333;;;
150228;0000;10,3333;;;
150301;0000;9,66667;;;
150302;0000;11,9583;;;
150303;0000;14,0417;;;
150304;0000;15,5417;;;
150305;0000;19,375;;;
150306;0000;17,625;;;
150307;0000;23,3333;;;
150308;0000;16,625;;;
150309;0000;15,6667;;;
150310;0000;22,5;;;
150311;0000;26,0417;;;
150312;0000;42,4584;;;
150313;0000;34,2084;;;
150314;0000;26,1667;;;
150315;0000;21,5833;;;
150316;0000;20,7083;;;
150317;0000;;;22,1905;
150318;0000;;;0,173913;
150319;0000;;;0,291667;
150320;0000;;;14;
150321;0000;18,1667;;;
150322;0000;18,0833;;;
150323;0000;19,0417;;;
150324;0000;15,9583;;;
150325;0000;27,125;;;
150326;0000;6,83334;;;
150327;0000;17,9583;;;
150328;0000;23,2083;;;
150329;0000;21,7917;;;
150330;0000;19,7083;;;
150331;0000;22,1667;;;
150401;0000;26,625;;;
150402;0000;26,1667;;;
150403;0000;17,625;;;
150404;0000;16,1667;;;
150405;0000;18,3333;;;
150406;0000;18,4583;;;
150407;0000;18,6667;;;
150408;0000;29,0833;;;
150409;0000;23,6957;;;
150410;0000;26,625;;;
150411;0000;28;;;
150412;0000;32,5417;;;
150413;0000;39,0001;;;
150414;0000;34,2084;;;
150415;0000;17,4583;;;
150416;0000;20,1667;;;
150417;0000;29,4583;;;
150418;0000;24,375;;;
150419;0000;22,625;;;
150420;0000;29,5417;;;
150421;0000;34,7917;;;
150422;0000;39,4167;;;
150423;0000;31,375;;;
150424;0000;39,9167;;;
150425;0000;53,4167;;;
150426;0000;72,6251;;;
150427;0000;69,2084;;;
150428;0000;52,5417;;;
150429;0000;45,3751;;;
150430;0000;48,6251;;;
150501;0000;52,3334;;;
150502;0000;29;;;
150503;0000;30,8333;;;
150504;0000;34,3751;;;
150505;0000;34,8334;;;
