FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;1,67931;;;
150102;0000;3,54984;;;
150103;0000;4,5898;;;
150104;0000;4,29772;;;
150105;0000;5,05858;;;
150106;0000;5,13123;;;
150107;0000;3,23357;;;
150108;0000;5,18738;;;
150109;0000;5,83914;;;
150110;0000;6,80824;;;
150111;0000;3,6525;;;
150112;0000;5,5003;;;
150113;0000;5,97076;;;
150114;0000;6,17296;;;
150115;0000;6,442;;;
150116;0000;5,15004;;;
150117;0000;5,88094;;;
150118;0000;1,86831;;;
150119;0000;1,53987;;;
150120;0000;3,14227;;;
150121;0000;7,9718;;;
150122;0000;9,33899;;;
150123;0000;12,9027;;;
150124;0000;8,96413;;;
150125;0000;6,78351;;;
150126;0000;7,78597;;;
150127;0000;10,8037;;;
150128;0000;8,91232;;;
150129;0000;8,70126;;;
150130;0000;10,1442;;;
150131;0000;10,1042;;;
150201;0000;8,00754;;;
150202;0000;9,08208;;;
150203;0000;8,92838;;;
150204;0000;11,8394;;;
150205;0000;11,2315;;;
150206;0000;11,9566;;;
150207;0000;9,38718;;;
150208;0000;6,57476;;;
150209;0000;10,9826;;;
150210;0000;13,5863;;;
150211;0000;8,17252;;;
150212;0000;11,9209;;;
150213;0000;6,53193;;;
150214;0000;8,29713;;;
150215;0000;4,29549;;;
150216;0000;6,60457;;;
150217;0000;11,3181;;;
150218;0000;9,98476;;;
150219;0000;11,0197;;;
150220;0000;4,64494;;;
150221;0000;8,09222;;;
150222;0000;10,502;;;
150223;0000;12,8419;;;
150224;0000;3,74284;;;
150225;0000;3,94585;;;
150226;0000;9,32492;;;
150227;0000;4,13562;;;
150228;0000;3,9225;;;
150301;0000;5,51291;;;
150302;0000;13,7915;;;
150303;0000;12,9494;;;
150304;0000;14,8033;;;
150305;0000;18,2179;;;
150306;0000;16,9575;;;
150307;0000;14,7415;;;
150308;0000;16,3284;;;
150309;0000;23,7797;;;
150310;0000;28,9956;;;
150311;0000;18,2843;;;
150312;0000;23,1687;;;
150313;0000;25,369;;;
150314;0000;21,1386;;;
150315;0000;16,4888;;;
150316;0000;20,3916;;;
150317;0000;29,2362;;;
150318;0000;25,5008;;;
150319;0000;26,367;;;
150320;0000;36,2911;;;
150321;0000;18,3084;;;
150322;0000;9,85217;;;
150323;0000;15,7429;;;
150324;0000;13,418;;;
150325;0000;28,3493;;;
150326;0000;16,6813;;;
150327;0000;39,2313;;;
150328;0000;25,8835;;;
150329;0000;17,5613;;;
150330;0000;17,7894;;;
150331;0000;45,1862;;;
150401;0000;49,2286;;;
150402;0000;38,4264;;;
150403;0000;15,0328;;;
150404;0000;18,2116;;;
150405;0000;19,8792;;;
150406;0000;25,2958;;;
150407;0000;12,4229;;;
150408;0000;39,4777;;;
150409;0000;40,9614;;;
150410;0000;53,9474;;;
150411;0000;31,0306;;;
150412;0000;20,2777;;;
150413;0000;34,6033;;;
150414;0000;29,7546;;;
150415;0000;23,3381;;;
150416;0000;12,2624;;;
150417;0000;53,9981;;;
150418;0000;26,0913;;;
150419;0000;13,4989;;;
150420;0000;47,0873;;;
150421;0000;59,1906;;;
150422;0000;58,7366;;;
150423;0000;55,5036;;;
150424;0000;57,7678;;;
150425;0000;25,5658;;;
150426;0000;25,3777;;;
150427;0000;58,2931;;;
150428;0000;38,4675;;;
150429;0000;58,031;;;
150430;0000;54,452;;;
150501;0000;29,2212;;;
150502;0000;6,91592;;;
150503;0000;26,4837;;;
150504;0000;62,1823;;;
150505;0000;71,9686;;;
150506;0000;73,8971;;;
150507;0000;58,9136;;;
150508;0000;74,2097;;;
150509;0000;59,8181;;;
150510;0000;50,857;;;
150511;0000;80,7952;;;
150512;0000;76,3727;;;
150513;0000;74,9763;;;
150514;0000;61,371;;;
150515;0000;69,424;;;
150516;0000;59,4906;;;
150517;0000;40,7581;;;
150518;0000;69,1149;;;
150519;0000;59,7113;;;
150520;0000;21,4153;;;
150521;0000;45,6748;;;
150522;0000;53,1809;;;
150523;0000;38,9732;;;
150524;0000;45,376;;;
150525;0000;94,3743;;;
150526;0000;109,843;;;
150527;0000;90,2784;;;
150528;0000;69,6368;;;
150529;0000;56,673;;;
150530;0000;57,3394;;;
150531;0000;49,2873;;;
150601;0000;111,765;;;
150602;0000;98,5107;;;
150603;0000;87,0291;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;;;;
150607;0000;;;;
150608;0000;;;;
150609;0000;;;;
150610;0000;;;;
150611;0000;;;;
150612;0000;;;;
150613;0000;;;;
150614;0000;;;;
150615;0000;;;;
150616;0000;;;;
150617;0000;;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;;;;
150621;0000;;;;
150622;0000;;;;
150623;0000;;;;
150624;0000;77,876;;;
150625;0000;88,6962;;;
150626;0000;96,4001;;;
150627;0000;88,4822;;;
150628;0000;50,8695;;;
150629;0000;46,6226;;;
150630;0000;112,367;;;
150701;0000;112,728;;;
150702;0000;109,147;;;
150703;0000;86,1743;;;
150704;0000;52,8096;;;
150705;0000;48,8576;;;
150706;0000;83,6469;;;
150707;0000;121,211;;;
150708;0000;177,077;;;
150709;0000;118,497;;;
150710;0000;137,429;;;
150711;0000;104,73;;;
150712;0000;5,90514;;;
150713;0000;15,0981;;;
150714;0000;83,4103;;;
150715;0000;130,097;;;
150716;0000;114,505;;;
150717;0000;77,1721;;;
150718;0000;41,8899;;;
150719;0000;40,9765;;;
150720;0000;76,6895;;;
150721;0000;123,92;;;
150722;0000;118,157;;;
150723;0000;102,348;;;
150724;0000;118,312;;;
150725;0000;121,523;;;
150726;0000;64,2242;;;
150727;0000;62,0064;;;
150728;0000;99,2026;;;
150729;0000;120,507;;;
150730;0000;54,1424;;;
150731;0000;89,7117;;;
150801;0000;133,619;;;
150802;0000;65,1479;;;
150803;0000;152,969;;;
150804;0000;67,004;;;
150805;0000;30,9666;;;
150806;0000;28,5897;;;
150807;0000;78,972;;;
150808;0000;31,3324;;;
150809;0000;5,73723;;;
150810;0000;19,8071;;;
150811;0000;65,5908;;;
150812;0000;86,3376;;;
150813;0000;66,6992;;;
150814;0000;47,5513;;;
150815;0000;41,348;;;
150816;0000;26,8421;;;
150817;0000;20,6417;;;
150818;0000;77,3171;;;
150819;0000;67,1088;;;
150820;0000;49,3501;;;
150821;0000;6,3113;;;
150822;0000;19,3792;;;
150823;0000;39,4615;;;
150824;0000;82,3174;;;
150825;0000;17,7386;;;
150826;0000;26,935;;;
150827;0000;115,011;;;
150828;0000;102,172;;;
150829;0000;52,6314;;;
150830;0000;35,5683;;;
150831;0000;53,4971;;;
150901;0000;54,7128;;;
150902;0000;51,0602;;;
150903;0000;61,511;;;
150904;0000;62,7227;;;
150905;0000;;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;;;;
150909;0000;;;;
150910;0000;;;;
150911;0000;;;;
150912;0000;;;;
150913;0000;;;;
150914;0000;;;;
150915;0000;;;;
150916;0000;47,2528;;;
150917;0000;5,81906;;;
150918;0000;14,6066;;;
150919;0000;15,8677;;;
150920;0000;7,53621;;;
150921;0000;2,88621;;;
150922;0000;3,98111;;;
150923;0000;24,5419;;;
150924;0000;21,8164;;;
150925;0000;47,4992;;;
150926;0000;36,6279;;;
150927;0000;28,2657;;;
150928;0000;36,8087;;;
150929;0000;33,198;;;
150930;0000;23,8091;;;
151001;0000;4,15395;;;
151002;0000;29,0941;;;
151003;0000;26,6173;;;
151004;0000;3,02094;;;
151005;0000;8,03352;;;
151006;0000;7,6948;;;
151007;0000;14,8424;;;
151008;0000;30,3815;;;
151009;0000;28,3188;;;
151010;0000;18,5356;;;
151011;0000;10,8113;;;
151012;0000;8,27036;;;
151013;0000;14,1364;;;
