FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;5,37153;;;
150102;0000;9,79231;;;
150103;0000;10,7815;;;
150104;0000;9,18169;;;
150105;0000;8,6618;;;
150106;0000;11,2383;;;
150107;0000;7,43064;;;
150108;0000;10,2744;;;
150109;0000;13,8795;;;
150110;0000;12,4493;;;
150111;0000;9,14709;;;
150112;0000;10,8148;;;
150113;0000;10,8158;;;
150114;0000;11,8094;;;
150115;0000;12,1169;;;
150116;0000;13,6137;;;
150117;0000;11,9758;;;
150118;0000;5,64971;;;
150119;0000;7,76755;;;
150120;0000;10,0365;;;
150121;0000;12,4394;;;
150122;0000;14,0719;;;
150123;0000;17,138;;;
150124;0000;14,1168;;;
150125;0000;10,2142;;;
150126;0000;10,5054;;;
150127;0000;12,5625;;;
150128;0000;13,4101;;;
150129;0000;16,6404;;;
150130;0000;16,3582;;;
150131;0000;15,195;;;
150201;0000;12,4735;;;
150202;0000;15,3933;;;
150203;0000;14,5284;;;
150204;0000;15,8855;;;
150205;0000;16,1142;;;
150206;0000;16,4032;;;
150207;0000;13,083;;;
150208;0000;8,46405;;;
150209;0000;14,5527;;;
150210;0000;16,5392;;;
150211;0000;15,0608;;;
150212;0000;17,0473;;;
150213;0000;18,3497;;;
150214;0000;15,4082;;;
150215;0000;13,0391;;;
150216;0000;16,5016;;;
150217;0000;18,5415;;;
150218;0000;15,3351;;;
150219;0000;14,8013;;;
150220;0000;17,3199;;;
150221;0000;12,6833;;;
150222;0000;11,7459;;;
150223;0000;13,8977;;;
150224;0000;8,80789;;;
150225;0000;14,0464;;;
150226;0000;13,7762;;;
150227;0000;11,0581;;;
150228;0000;8,79051;;;
150301;0000;9,6476;;;
150302;0000;13,1057;;;
150303;0000;14,1862;;;
150304;0000;16,7495;;;
150305;0000;20,0013;;;
150306;0000;19,8673;;;
150307;0000;18,2849;;;
150308;0000;14,1794;;;
150309;0000;20,3497;;;
150310;0000;25,9012;;;
150311;0000;23,5729;;;
150312;0000;27,305;;;
150313;0000;24,2157;;;
150314;0000;22,0145;;;
150315;0000;21,1483;;;
150316;0000;26,7892;;;
150317;0000;28,6317;;;
150318;0000;27,1674;;;
150319;0000;27,0619;;;
150320;0000;27,4229;;;
150321;0000;18,5393;;;
150322;0000;12,1558;;;
150323;0000;14,8795;;;
150324;0000;16,0539;;;
150325;0000;19,9967;;;
150326;0000;10,7645;;;
150327;0000;21,1712;;;
150328;0000;20,1274;;;
150329;0000;18,2665;;;
150330;0000;21,0268;;;
150331;0000;25,2126;;;
150401;0000;32,6582;;;
150402;0000;28,4928;;;
150403;0000;15,0855;;;
150404;0000;13,7135;;;
150405;0000;18,5142;;;
150406;0000;23,262;;;
150407;0000;16,7748;;;
150408;0000;22,0005;;;
150409;0000;26,2847;;;
150410;0000;29,8296;;;
150411;0000;25,7286;;;
150412;0000;22,9462;;;
150413;0000;28,8219;;;
150414;0000;24,0406;;;
150415;0000;19,1928;;;
150416;0000;18,1181;;;
150417;0000;27,1816;;;
150418;0000;24,3973;;;
150419;0000;24,9795;;;
150420;0000;27,8436;;;
150421;0000;28,9412;;;
150422;0000;36,4002;;;
150423;0000;34,6796;;;
150424;0000;36,6208;;;
150425;0000;28,1984;;;
150426;0000;23,7409;;;
150427;0000;36,1818;;;
150428;0000;31,4719;;;
150429;0000;35,6071;;;
150430;0000;36,322;;;
150501;0000;26,9312;;;
150502;0000;13,8253;;;
150503;0000;16,4298;;;
150504;0000;26,4127;;;
150505;0000;29,2664;;;
150506;0000;37,3977;;;
150507;0000;33,6154;;;
150508;0000;31,2053;;;
150509;0000;23,7256;;;
150510;0000;23,7429;;;
150511;0000;40,9698;;;
150512;0000;36,6243;;;
150513;0000;33,8246;;;
150514;0000;35,501;;;
150515;0000;35,9381;;;
150516;0000;34,713;;;
150517;0000;28,3976;;;
150518;0000;39,1861;;;
150519;0000;37,6644;;;
150520;0000;22,8671;;;
150521;0000;21,1834;;;
150522;0000;20,9811;;;
150523;0000;20,0513;;;
150524;0000;20,2134;;;
150525;0000;40,2572;;;
150526;0000;44,3016;;;
150527;0000;41,1728;;;
150528;0000;41,3663;;;
150529;0000;36,3896;;;
150530;0000;23,1583;;;
150531;0000;22,4299;;;
150601;0000;39,3701;;;
150602;0000;44,265;;;
150603;0000;39,8836;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;;;25,0301;
150607;0000;;;21,1898;
150608;0000;;;25,0439;
150609;0000;;;23,7058;
150610;0000;;;17,0636;
150611;0000;;;25,7372;
150612;0000;;;26,3611;
150613;0000;;;18,0729;
150614;0000;;;17,6829;
150615;0000;;;31,6122;
150616;0000;;;32,9896;
150617;0000;;;31,1852;
150618;0000;;;40,6956;
150619;0000;;;35,0555;
150620;0000;;;33,8773;
150621;0000;;;41,5081;
150622;0000;;;40,5254;
150623;0000;;;39,9841;
150624;0000;30,84;;;
150625;0000;35,9428;;;
150626;0000;39,7547;;;
150627;0000;40,1473;;;
