FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;15,5287;;;
150102;0000;17,317;;;
150103;0000;18,9;;;
150104;0000;23,315;;;
150105;0000;18,1346;;;
150106;0000;16,3845;;;
150107;0000;17,3761;;;
150108;0000;18,2076;;;
150109;0000;22,1286;;;
150110;0000;19,968;;;
150111;0000;20,6117;;;
150112;0000;19,3036;;;
150113;0000;19,8498;;;
150114;0000;20,6013;;;
150115;0000;18,2841;;;
150116;0000;19,4149;;;
150117;0000;18,893;;;
150118;0000;16,8577;;;
150119;0000;14,0083;;;
150120;0000;17,0943;;;
150121;0000;15,7722;;;
150122;0000;15,2016;;;
150123;0000;16,2593;;;
150124;0000;17,8458;;;
150125;0000;15,3338;;;
150126;0000;14,1961;;;
150127;0000;14,9163;;;
150128;0000;17,7066;;;
150129;0000;18,0754;;;
150130;0000;17,0943;;;
150131;0000;18,8269;;;
150201;0000;19,9402;;;
150202;0000;17,2091;;;
150203;0000;17,8562;;;
150204;0000;18,3538;;;
150205;0000;16,8751;;;
150206;0000;17,2056;;;
150207;0000;16,5585;;;
150208;0000;13,3264;;;
150209;0000;12,3974;;;
150210;0000;15,9949;;;
150211;0000;16,4611;;;
150212;0000;16,903;;;
150213;0000;21,8805;;;
150214;0000;19,8428;;;
150215;0000;21,144;;;
150216;0000;19,6341;;;
150217;0000;18,8965;;;
150218;0000;15,5078;;;
150219;0000;19,7141;;;
150220;0000;16,1932;;;
150221;0000;16,4297;;;
150222;0000;14,6797;;;
150223;0000;14,5754;;;
150224;0000;13,0237;;;
150225;0000;17,4387;;;
150226;0000;14,0164;;;
150227;0000;17,5118;;;
150228;0000;13,8239;;;
150301;0000;14,1474;;;
150302;0000;13,1907;;;
150303;0000;15,0172;;;
150304;0000;16,0192;;;
150305;0000;17,1638;;;
150306;0000;16,228;;;
150307;0000;15,9288;;;
150308;0000;17,0421;;;
150309;0000;15,2121;;;
150310;0000;17,7171;;;
150311;0000;20,3786;;;
150312;0000;15,5223;;;
150313;0000;17,1221;;;
150314;0000;17,7414;;;
150315;0000;21,0362;;;
150316;0000;17,6996;;;
150317;0000;17,717;;;
150318;0000;18,9243;;;
150319;0000;18,5868;;;
150320;0000;15,0659;;;
150321;0000;15,2468;;;
150322;0000;11,4928;;;
150323;0000;7,33523;;;
150324;0000;5,68262;;;
150325;0000;8,3094;;;
150326;0000;12,9436;;;
150327;0000;12,5957;;;
150328;0000;15,9948;;;
150329;0000;17,4735;;;
150330;0000;11,4163;;;
150331;0000;11,9799;;;
150401;0000;14,8224;;;
150402;0000;14,5162;;;
150403;0000;14,5614;;;
150404;0000;12,6444;;;
150405;0000;15,7652;;;
150406;0000;13,4029;;;
150407;0000;10,456;;;
150408;0000;12,1191;;;
150409;0000;11,1867;;;
150410;0000;11,2737;;;
150411;0000;15,5112;;;
150412;0000;17,8597;;;
150413;0000;14,2448;;;
150414;0000;12,3939;;;
150415;0000;7,75968;;;
150416;0000;11,3676;;;
150417;0000;9,53754;;;
150418;0000;14,9894;;;
150419;0000;7,39089;;;
150420;0000;5,94356;;;
150421;0000;10,2021;;;
150422;0000;10,5117;;;
150423;0000;11,6216;;;
150424;0000;12,3591;;;
150425;0000;15,2607;;;
150426;0000;15,2468;;;
150427;0000;14,3631;;;
150428;0000;13,3507;;;
150429;0000;10,8318;;;
150430;0000;11,5137;;;
150501;0000;9,29749;;;
150502;0000;11,1553;;;
150503;0000;10,1534;;;
150504;0000;8,35115;;;
150505;0000;8,89738;;;
150506;0000;8,63992;;;
150507;0000;8,92174;;;
150508;0000;4,63192;;;
150509;0000;8,46596;;;
150510;0000;10,5326;;;
150511;0000;6,10012;;;
150512;0000;5,76264;;;
150513;0000;8,31636;;;
150514;0000;7,88539;;;
150515;0000;8,16327;;;
150516;0000;10,4386;;;
150517;0000;12,7036;;;
150518;0000;9,14787;;;
150519;0000;7,26565;;;
150520;0000;6,20102;;;
150521;0000;7,50223;;;
150522;0000;5,76264;;;
150523;0000;6,70202;;;
150524;0000;9,70454;;;
150525;0000;5,03898;;;
150526;0000;6,06185;;;
150527;0000;7,18562;;;
150528;0000;5,47388;;;
150529;0000;7,92668;;;
150530;0000;6,58025;;;
150531;0000;6,19754;;;
150601;0000;4,21442;;;
150602;0000;4,57973;;;
150603;0000;5,453;;;
150604;0000;4,15179;;;
150605;0000;6,52458;;;
150606;0000;5,77308;;;
150607;0000;7,46396;;;
150608;0000;6,69158;;;
150609;0000;4,84067;;;
150610;0000;6,46892;;;
150611;0000;6,11404;;;
150612;0000;6,61504;;;
150613;0000;7,82927;;;
150614;0000;8,09369;;;
150615;0000;5,92964;;;
150616;0000;5,90181;;;
150617;0000;5,78004;;;
150618;0000;5,3586;;;
150619;0000;5,83571;;;
150620;0000;6,64635;;;
150621;0000;5,09464;;;
150622;0000;5,47388;;;
150623;0000;5,34515;;;
150624;0000;5,57825;;;
150625;0000;5,41821;;;
150626;0000;5,65131;;;
150627;0000;6,54546;;;
150628;0000;7,95103;;;
150629;0000;8,66428;;;
150630;0000;4,24921;;;
150701;0000;4,33619;;;
150702;0000;5,73133;;;
150703;0000;5,99227;;;
150704;0000;8,05194;;;
150705;0000;4,15527;;;
150706;0000;3,74125;;;
150707;0000;3,77805;;;
150708;0000;1;;;
150709;0000;1,31333;;;
150710;0000;1;;;
150711;0000;1;;;
150712;0000;6,67125;;;
150713;0000;5,67136;;;
150714;0000;3,09751;;;
150715;0000;1,00973;;;
150716;0000;3,93095;;;
150717;0000;2,99981;;;
150718;0000;3,53604;;;
150719;0000;2,2212;;;
150720;0000;3,56878;;;
150721;0000;1,65915;;;
150722;0000;2,49397;;;
150723;0000;3,17508;;;
150724;0000;2,27477;;;
150725;0000;1,55542;;;
150726;0000;3,68145;;;
150727;0000;1,87146;;;
150728;0000;1;;;
150729;0000;2,73308;;;
150730;0000;4,38299;;;
150731;0000;1,25985;;;
150801;0000;1,00324;;;
150802;0000;1;;;
150803;0000;1;;;
150804;0000;3,57695;;;
150805;0000;1,95116;;;
150806;0000;1,5165;;;
150807;0000;1,66404;;;
150808;0000;8,12793;;;
150809;0000;6,53621;;;
150810;0000;4,62444;;;
150811;0000;4,66853;;;
150812;0000;2,46376;;;
150813;0000;2,62969;;;
150814;0000;5,26469;;;
150815;0000;2,49815;;;
150816;0000;10,1327;;;
150817;0000;6,8206;;;
150818;0000;5,2561;;;
150819;0000;6,66408;;;
150820;0000;6,72432;;;
150821;0000;8,14311;;;
150822;0000;9,77;;;
150823;0000;3,43297;;;
150824;0000;3,63694;;;
150825;0000;4,7515;;;
150826;0000;7,59004;;;
150827;0000;1,08156;;;
150828;0000;4,15034;;;
150829;0000;9,12331;;;
150830;0000;10,9517;;;
150831;0000;8,10391;;;
150901;0000;8,1396;;;
150902;0000;9,77989;;;
150903;0000;10,9527;;;
150904;0000;14,5253;;;
150905;0000;14,6588;;;
150906;0000;12,0578;;;
150907;0000;4,09162;;;
150908;0000;1,42945;;;
150909;0000;1,49324;;;
150910;0000;6,30296;;;
150911;0000;8,1761;;;
150912;0000;10,3848;;;
150913;0000;13,9992;;;
150914;0000;4,17768;;;
150915;0000;2,16412;;;
150916;0000;3,8353;;;
150917;0000;13,6793;;;
150918;0000;11,2374;;;
150919;0000;9,2467;;;
150920;0000;13,2616;;;
150921;0000;13,3187;;;
150922;0000;12,1249;;;
150923;0000;10,8697;;;
150924;0000;5,90063;;;
150925;0000;5,03838;;;
150926;0000;8,15889;;;
150927;0000;6,05302;;;
150928;0000;10,7193;;;
150929;0000;9,34761;;;
150930;0000;9,76953;;;
151001;0000;7,8033;;;
151002;0000;8,52014;;;
151003;0000;6,67268;;;
151004;0000;7,99896;;;
151005;0000;4,00674;;;
151006;0000;5,67681;;;
151007;0000;9,82468;;;
151008;0000;7,09366;;;
151009;0000;11,4374;;;
151010;0000;14,7663;;;
151011;0000;17,8276;;;
151012;0000;13,5128;;;
151013;0000;11,3246;;;
151014;0000;9,91898;;;
151015;0000;9,89351;;;
151016;0000;2,11655;;;
151017;0000;13,3791;;;
151018;0000;17,9046;;;
151019;0000;7,5871;;;
151020;0000;7,79424;;;
151021;0000;11,2314;;;
151022;0000;15,3631;;;
151023;0000;14,2294;;;
151024;0000;11,4475;;;
151025;0000;12,0511;;;
151026;0000;12,1635;;;
151027;0000;11,1115;;;
151028;0000;10,672;;;
151029;0000;12,4943;;;
151030;0000;15,5361;;;
151031;0000;18,4286;;;
151101;0000;17,9289;;;
151102;0000;7,67411;;;
151103;0000;13,149;;;
151104;0000;16,0318;;;
151105;0000;17,451;;;
151106;0000;14,3099;;;
151107;0000;10,2449;;;
151108;0000;10,9841;;;
151109;0000;11,9085;;;
151110;0000;13,479;;;
151111;0000;15,4685;;;
151112;0000;15,5176;;;
151113;0000;17,872;;;
151114;0000;19,0922;;;
151115;0000;15,2789;;;
151116;0000;11,4263;;;
151117;0000;13,0922;;;
151118;0000;11,3835;;;
151119;0000;15,7661;;;
151120;0000;14,4817;;;
151121;0000;14,2379;;;
151122;0000;14,5975;;;
151123;0000;12,3234;;;
151124;0000;10,6195;;;
151125;0000;11,8567;;;
151126;0000;10,8087;;;
151127;0000;12,4254;;;
151128;0000;15,9646;;;
151129;0000;20,3138;;;
151130;0000;14,819;;;
151201;0000;13,0625;;;
151202;0000;11,8329;;;
151203;0000;14,1214;;;
151204;0000;17,8567;;;
151205;0000;18,5993;;;
151206;0000;17,351;;;
151207;0000;12,2087;;;
151208;0000;14,3768;;;
151209;0000;11,6044;;;
151210;0000;19,0892;;;
