FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;1,5028;;;
150102;0000;1,12359;;;
150103;0000;1,52036;;;
150104;0000;1,6573;;;
150105;0000;1,78721;;;
150106;0000;1,08848;;;
150107;0000;1,01119;;;
150108;0000;1,20435;;;
150109;0000;1,4712;;;
150110;0000;1,29213;;;
150111;0000;1,64325;;;
150112;0000;1,33778;;;
150113;0000;1,50983;;;
150114;0000;2,87921;;;
150115;0000;1,71699;;;
150116;0000;1,54143;;;
150117;0000;1,0955;;;
150118;0000;1,01474;;;
150119;0000;1,01123;;;
150120;0000;;;1,00472;
150121;0000;;;1,006;
150122;0000;;;1,03224;
150123;0000;1,10955;;;
150124;0000;1,18328;;;
150125;0000;1,03932;;;
150126;0000;1,08848;;;
150127;0000;1,17626;;;
150128;0000;1,47823;;;
150129;0000;1,21839;;;
150130;0000;1,21137;;;
150131;0000;1,40796;;;
150201;0000;1,14198;;;
150202;0000;1,1041;;;
150203;0000;1,2449;;;
150204;0000;1,40694;;;
150205;0000;1,03875;;;
150206;0000;1,06243;;;
150207;0000;1,01615;;;
150208;0000;1;;;
150209;0000;1,02153;;;
150210;0000;1,01722;;;
150211;0000;1,0183;;;
150212;0000;1,16038;;;
150213;0000;1,11114;;;
150214;0000;1,06458;;;
150215;0000;1,00753;;;
150216;0000;1,01722;;;
150217;0000;1,06243;;;
150218;0000;1,00215;;;
150219;0000;1,03552;;;
150220;0000;1,01722;;;
150221;0000;1,00646;;;
150222;0000;1;;;
150223;0000;1,00431;;;
150224;0000;1;;;
150225;0000;1;;;
150226;0000;;;;
150227;0000;;;;
150228;0000;1;;;
150301;0000;1,00215;;;
150302;0000;1;;;
150303;0000;1,00215;;;
150304;0000;1,00323;;;
150305;0000;1,10007;;;
150306;0000;1,06135;;;
150307;0000;1,10372;;;
150308;0000;1,00431;;;
150309;0000;1,0226;;;
150310;0000;1,09361;;;
150311;0000;1,08396;;;
150312;0000;1,15798;;;
150313;0000;1,07535;;;
150314;0000;1,13191;;;
150315;0000;1,26097;;;
150316;0000;1,1117;;;
150317;0000;1,19687;;;
150318;0000;1,19174;;;
150319;0000;1,11646;;;
150320;0000;1,22611;;;
150321;0000;1,12587;;;
150322;0000;1;;;
150323;0000;1;;;
150324;0000;1,00144;;;
150325;0000;1,0226;;;
150326;0000;1;;;
150327;0000;1,02045;;;
150328;0000;1,01722;;;
