FECHA (YYMMDD);HORA (HHMM);;,
150101;0100;15,4833;
150101;0200;15,1167;
150101;0300;14,9083;
150101;0400;14,6417;
150101;0500;14,725;
150101;0600;15,4583;
150101;0700;18,8833;
150101;0800;20,0333;
150101;0900;21,2083;
150101;1000;22,7667;
150101;1100;24,9667;
150101;1200;27,2417;
150101;1300;28,675;
150101;1400;29,4333;
150101;1500;29,8917;
150101;1600;29,8;
150101;1700;29,25;
150101;1800;27,8917;
150101;1900;24,825;
150101;2000;22,175;
150101;2100;20,025;
150101;2200;19,1333;
150101;2300;18,3417;
150102;0000;17,5667;
150102;0100;16,9167;
150102;0200;15,9167;
150102;0300;15,075;
150102;0400;14,475;
150102;0500;13,95;
150102;0600;15,6833;
150102;0700;20,5083;
150102;0800;23,2333;
150102;0900;25,175;
150102;1000;27,45;
150102;1100;29,5167;
150102;1200;30,525;
150102;1300;31,6917;
150102;1400;31,9167;
150102;1500;31,8917;
150102;1600;31,1;
150102;1700;29,5333;
150102;1800;28,675;
150102;1900;26,0083;
150102;2000;23,1;
150102;2100;21,4167;
150102;2200;20,225;
150102;2300;19,0167;
150103;0000;18,0833;
150103;0100;16,8;
150103;0200;15,8833;
150103;0300;15,3667;
150103;0400;14,7;
150103;0500;14,1667;
150103;0600;15,8333;
150103;0700;21,4667;
150103;0800;24,4583;
150103;0900;26,1167;
150103;1000;29,425;
150103;1100;31,25;
150103;1200;32,05;
150103;1300;32,9;
150103;1400;33,9;
150103;1500;33,65;
150103;1600;33,375;
150103;1700;32,0583;
150103;1800;29,4917;
150103;1900;26,6833;
150103;2000;23,5417;
150103;2100;22,3;
150103;2200;21,55;
150103;2300;20,475;
150104;0000;19,7417;
150104;0100;18,4333;
150104;0200;17,85;
150104;0300;17,075;
150104;0400;16,325;
150104;0500;15,6333;
150104;0600;17,5667;
150104;0700;22,7583;
150104;0800;25,825;
150104;0900;27,9583;
150104;1000;30,1833;
150104;1100;32,1083;
150104;1200;33,5833;
150104;1300;34,5166;
150104;1400;35,0916;
150104;1500;34,6416;
150104;1600;34,225;
150104;1700;31,925;
150104;1800;29,7417;
150104;1900;26,9333;
150104;2000;23,9167;
150104;2100;22,0583;
150104;2200;20,6583;
150104;2300;20,1;
150105;0000;19,1917;
150105;0100;18,4917;
150105;0200;17,7167;
150105;0300;17,1667;
150105;0400;16,775;
150105;0500;16,3;
150105;0600;17,8417;
150105;0700;21,1917;
150105;0800;23,3667;
150105;0900;25,7583;
150105;1000;28,325;
150105;1100;29,7833;
150105;1200;31,4833;
150105;1300;32,2;
150105;1400;32,25;
150105;1500;32,4333;
150105;1600;31,15;
150105;1700;29,675;
150105;1800;27,85;
150105;1900;24,3917;
150105;2000;21,3667;
150105;2100;19,25;
150105;2200;17,9417;
150105;2300;17,2083;
150106;0000;16,425;
150106;0100;16,1916;
150106;0200;15,7917;
150106;0300;15,3833;
150106;0400;14,9167;
150106;0500;14,6917;
150106;0600;15,825;
150106;0700;20,35;
150106;0800;22,35;
150106;0900;24,5416;
150106;1000;26,825;
150106;1100;29,275;
150106;1200;30,8167;
150106;1300;31,1167;
150106;1400;31,35;
150106;1500;30,1583;
150106;1600;28,875;
150106;1700;27,1917;
150106;1800;24,8833;
150106;1900;22,4917;
150106;2000;20,8667;
150106;2100;20,3333;
150106;2200;19,1333;
150106;2300;17,2833;
150107;0000;15,2833;
150107;0100;14,3583;
150107;0200;13,8833;
150107;0300;12,725;
150107;0400;12,05;
150107;0500;12,2417;
150107;0600;13,05;
150107;0700;14,85;
150107;0800;17,55;
150107;0900;19,9667;
150107;1000;23,5417;
150107;1100;25,7833;
150107;1200;26,4833;
150107;1300;27,2583;
150107;1400;28,6917;
150107;1500;26,0333;
150107;1600;25,2667;
150107;1700;25,6833;
150107;1800;25,0333;
150107;1900;23,1;
150107;2000;20,3417;
150107;2100;19,4083;
150107;2200;18,5667;
150107;2300;17,9833;
150108;0000;17,125;
150108;0100;16,5583;
150108;0200;15,8083;
150108;0300;15,325;
150108;0400;14,7167;
150108;0500;14,3583;
150108;0600;15,5417;
150108;0700;17,8667;
150108;0800;21,275;
150108;0900;23,4333;
150108;1000;25,5417;
150108;1100;28,0667;
150108;1200;30,2917;
150108;1300;31,6667;
150108;1400;32,8083;
150108;1500;32,9833;
150108;1600;32,9417;
150108;1700;32,9;
150108;1800;31,875;
150108;1900;28,7583;
150108;2000;26,0667;
150108;2100;24,1;
150108;2200;22,8667;
150108;2300;21,7833;
150109;0000;20,4583;
150109;0100;19,3167;
150109;0200;18,5;
150109;0300;17,8333;
150109;0400;17,125;
150109;0500;16,5583;
150109;0600;17,7;
150109;0700;23,4583;
150109;0800;26,225;
150109;0900;28,7;
150109;1000;31,275;
150109;1100;33,125;
150109;1200;35,2416;
150109;1300;36,0666;
150109;1400;36,2583;
150109;1500;35,6916;
150109;1600;34,6333;
150109;1700;32,575;
150109;1800;30,2417;
150109;1900;27,0917;
150109;2000;24,7167;
150109;2100;23,1333;
150109;2200;21,7583;
150109;2300;20,5;
150110;0000;19,75;
150110;0100;18,55;
150110;0200;17,9;
150110;0300;16,975;
150110;0400;16,3083;
150110;0500;15,6917;
150110;0600;16,6833;
150110;0700;22,075;
150110;0800;24,1917;
150110;0900;27,2167;
150110;1000;29,3917;
150110;1100;31,25;
150110;1200;32,1833;
150110;1300;32,5166;
150110;1400;33,35;
150110;1500;33,4083;
150110;1600;32,825;
150110;1700;31,2167;
150110;1800;29,625;
150110;1900;25,9583;
150110;2000;22,8333;
150110;2100;21,575;
150110;2200;21,1833;
150110;2300;20,1333;
150111;0000;19,2667;
150111;0100;18,5583;
150111;0200;18,0833;
150111;0300;17,3417;
150111;0400;16,7333;
150111;0500;16,5333;
150111;0600;17,65;
150111;0700;23;,
150111;0800;24,5417;
150111;0900;26,85;
150111;1000;29,1667;
150111;1100;31,7083;
150111;1200;33,35;
150111;1300;34,4166;
150111;1400;34,9916;
150111;1500;34,5416;
150111;1600;32,8083;
150111;1700;31,1167;
150111;1800;29,1833;
150111;1900;26,0417;
150111;2000;23,5833;
150111;2100;22,275;
150111;2200;21,3916;
150111;2300;20,2667;
150112;0000;19,1083;
150112;0100;18,0167;
150112;0200;17,2917;
150112;0300;16,8083;
150112;0400;16,0917;
150112;0500;15,5167;
150112;0600;16,5917;
150112;0700;21,45;
150112;0800;23,325;
150112;0900;25,325;
150112;1000;27,9167;
150112;1100;29,3083;
150112;1200;30,2333;
150112;1300;31,2417;
150112;1400;31,1583;
150112;1500;31,05;
150112;1600;30,0333;
150112;1700;28,4667;
150112;1800;26,8917;
150112;1900;23,725;
150112;2000;21,4083;
150112;2100;19,575;
150112;2200;18,4;
150112;2300;17,9833;
150113;0000;17,6833;
150113;0100;16,8583;
150113;0200;16,0083;
150113;0300;15,4167;
150113;0400;14,8583;
150113;0500;14,45;
150113;0600;15,4;
150113;0700;20,1083;
150113;0800;22,2833;
150113;0900;23,6583;
150113;1000;25,7083;
150113;1100;27,775;
150113;1200;28,9667;
150113;1300;30,3833;
150113;1400;30,7167;
150113;1500;30,925;
150113;1600;30,8667;
150113;1700;29,875;
150113;1800;27,9167;
150113;1900;24,9167;
150113;2000;22,475;
150113;2100;21,1417;
150113;2200;20,1833;
150113;2300;19,275;
150114;0000;18,625;
150114;0100;17,6833;
150114;0200;16,9667;
150114;0300;15,925;
150114;0400;15,625;
150114;0500;15,225;
150114;0600;16,0833;
